keggId,similarity
C00001,0.18181818181818182
C00002,0.2926829268292683
C00003,0.2222222222222222
C00004,0.2222222222222222
C00005,0.20689655172413793
C00006,0.20689655172413793
C00007,0.16666666666666666
C00008,0.32432432432432434
C00009,0.13333333333333333
C00010,0.20689655172413793
C00011,0.3076923076923077
C00013,0.10526315789473684
C00014,0.18181818181818182
C00015,0.34285714285714286
C00016,0.2222222222222222
C00018,0.5384615384615384
C00019,0.3783783783783784
C00020,0.36363636363636365
C00112,0.34285714285714286
C00113,0.5882352941176471
C00114,0.47058823529411764
C00116,0.5
C00117,0.5
C00118,0.4
C00119,0.375
C00120,0.6153846153846154
C00121,0.6
C00122,0.4444444444444444
C01269,0.5161290322580645
C01270,0.7619047619047619
C01272,0.3684210526315789
C01273,0.5384615384615384
C01274,0.24615384615384617
C01275,0.6153846153846154
C01278,0.5217391304347826
C01279,0.4
C01280,0.3103448275862069
C01283,0.6153846153846154
C01284,0.3333333333333333
C01286,0.6153846153846154
C01289,0.18181818181818182
C01291,0.2222222222222222
C01292,0.41025641025641024
C01294,0.5517241379310345
C01295,0.6086956521739131
C01297,0.5833333333333334
C01298,0.72
C01300,0.4166666666666667
C01301,0.34146341463414637
C01302,0.48484848484848486
C01304,0.36363636363636365
C01310,0.4444444444444444
C01312,0.4
C01319,0.0
C01324,0.0
C01326,0.16666666666666666
C01327,0.0
C01328,0.18181818181818182
C01330,0.0
C01344,0.3333333333333333
C01345,0.3
C01346,0.35294117647058826
C01352,0.2222222222222222
C01353,0.42857142857142855
C01359,0.5882352941176471
C01367,0.36363636363636365
C01368,0.3870967741935484
C01378,0.45161290322580644
C01380,0.42857142857142855
C01382,0.0
C01384,0.4444444444444444
C01387,0.6666666666666666
C01389,0.3870967741935484
C01390,0.375
C01401,0.75
C01403,0.7777777777777778
C01405,0.6956521739130435
C01407,0.75
C01408,0.5384615384615384
C01412,0.6666666666666666
C01414,0.4
C01416,0.5625
C01417,0.3076923076923077
C01418,0.5185185185185185
C01419,0.47619047619047616
C01420,0.5
C01421,0.47058823529411764
C01424,0.7272727272727273
C01432,0.625
C01433,0.43243243243243246
C01438,0.18181818181818182
C01441,0.5625
C01444,0.625
C01448,0.45161290322580644
C01449,0.4
C01451,0.4666666666666667
C01454,0.8
C01455,0.7058823529411765
C01456,0.7272727272727273
C01457,0.21621621621621623
C01460,0.34146341463414637
C01467,0.7777777777777778
C00123,0.8421052631578947
C00124,0.6363636363636364
C00127,0.32
C00128,0.3137254901960784
C00129,0.4166666666666667
C00130,0.36363636363636365
C00131,0.3
C00132,0.3333333333333333
C01468,0.7777777777777778
C01470,0.45161290322580644
C01471,0.42857142857142855
C01474,0.5
C01477,0.4666666666666667
C01479,0.5161290322580645
C01485,0.14285714285714285
C01486,0.15384615384615385
C01487,0.6363636363636364
C01488,0.5
C01489,0.6363636363636364
C01493,0.38461538461538464
C01494,0.5833333333333334
C01495,0.5
C01499,0.47619047619047616
C01500,0.47619047619047616
C01502,0.7368421052631579
C01504,0.7
C01507,0.6363636363636364
C01508,0.6
C01512,0.4444444444444444
C01513,0.375
C01514,0.45161290322580644
C01516,0.5161290322580645
C01518,0.42424242424242425
C01526,0.5454545454545454
C01527,0.45714285714285713
C01528,0.0
C01529,0.0
C01530,0.5333333333333333
C01533,0.3888888888888889
C01537,0.375
C01540,0.27586206896551724
C01542,0.7777777777777778
C01545,0.7368421052631579
C01546,0.7777777777777778
C01548,0.16666666666666666
C01550,0.5517241379310345
C01557,0.6153846153846154
C01561,0.358974358974359
C01562,0.45161290322580644
C01563,0.42857142857142855
C01564,0.5625
C01566,0.3076923076923077
C01569,0.5
C01571,0.7272727272727273
C01572,0.48484848484848486
C01573,0.5161290322580645
C01575,0.6363636363636364
C01582,0.6363636363636364
C01585,0.8888888888888888
C01586,0.6086956521739131
C01589,0.4
C01590,0.3888888888888889
C01592,0.4666666666666667
C01593,0.34782608695652173
C01594,0.5185185185185185
C01595,0.5333333333333333
C01596,0.4444444444444444
C01598,0.5925925925925926
C01602,0.8421052631578947
C01604,0.34146341463414637
C01606,0.7272727272727273
C01607,0.5
C01610,0.36363636363636365
C01613,0.2545454545454545
C01616,0.5454545454545454
C01617,0.4375
C01618,0.48484848484848486
C01620,0.631578947368421
C01623,0.2727272727272727
C01624,0.6086956521739131
C01625,0.45161290322580644
C01626,0.4186046511627907
C00133,0.75
C00134,0.625
C00135,0.7619047619047619
C00136,0.19047619047619047
C00137,0.6363636363636364
C00140,0.64
C00141,0.6666666666666666
C00143,0.37209302325581395
C01659,0.4
C01661,0.2857142857142857
C01672,0.8235294117647058
C01673,0.35
C01674,0.41025641025641024
C01677,0.4
C01678,0.42857142857142855
C01680,0.7272727272727273
C01682,0.5161290322580645
C01685,0.6666666666666666
C01693,0.6666666666666666
C01694,0.358974358974359
C01697,0.6363636363636364
C01699,0.45714285714285713
C01701,0.4
C01705,0.5
C01709,0.4375
C01710,0.7
C01711,0.42424242424242425
C01714,0.34146341463414637
C01717,0.75
C01720,0.7272727272727273
C01721,0.6666666666666666
C01722,0.6363636363636364
C01724,0.34146341463414637
C01725,0.42424242424242425
C01726,0.4444444444444444
C01727,0.5
C01728,0.42424242424242425
C01732,0.5263157894736842
C01735,0.5161290322580645
C01737,0.34615384615384615
C01739,0.46153846153846156
C01742,0.42424242424242425
C01743,0.5
C01744,0.7272727272727273
C01745,0.5384615384615384
C01746,0.75
C01747,0.3333333333333333
C01748,0.6153846153846154
C01750,0.3333333333333333
C01751,0.7777777777777778
C01752,0.6666666666666666
C01753,0.35
C01755,0.15384615384615385
C01756,0.4
C01757,0.8
C01759,0.43902439024390244
C01760,0.5384615384615384
C01761,0.4444444444444444
C01762,0.4
C01765,0.6666666666666666
C01766,0.6666666666666666
C01767,0.5714285714285714
C01769,0.5
C01770,0.75
C01771,0.5
C01772,0.6363636363636364
C01779,0.5
C01780,0.3888888888888889
C01788,0.3181818181818182
C01789,0.358974358974359
C01792,0.45161290322580644
C01794,0.16279069767441862
C01795,0.45714285714285713
C01801,0.631578947368421
C01802,0.3684210526315789
C01804,0.4375
C01816,0.4444444444444444
C01817,0.5384615384615384
C01818,0.14285714285714285
C01821,0.3333333333333333
C01822,0.37209302325581395
C01823,0.37209302325581395
C01825,0.6363636363636364
C01826,0.8888888888888888
C01829,0.5294117647058824
C00144,0.35294117647058826
C00146,0.8235294117647058
C00147,0.4
C00148,0.8888888888888888
C00149,0.631578947368421
C00152,0.7368421052631579
C00153,0.631578947368421
C00154,0.18666666666666668
C01832,0.19718309859154928
C01835,0.3181818181818182
C01837,0.4
C01838,0.4827586206896552
C01839,0.7272727272727273
C01841,0.48
C01842,0.7058823529411765
C01845,0.42857142857142855
C01847,0.34146341463414637
C01848,0.25
C01849,0.25
C01850,0.4444444444444444
C01851,0.5
C01852,0.3783783783783784
C01853,0.6956521739130435
C01855,0.4375
C01857,0.42857142857142855
C01860,0.48
C01861,0.10526315789473684
C01863,0.28
C01864,0.6153846153846154
C01868,0.6666666666666666
C01869,0.7272727272727273
C01870,0.35
C01874,0.7777777777777778
C01875,0.6363636363636364
C01877,0.8421052631578947
C01879,0.8421052631578947
C01880,0.8888888888888888
C01883,0.5
C01888,0.5333333333333333
C01892,0.5555555555555556
C01894,0.1917808219178082
C01897,0.5
C01902,0.34146341463414637
C01904,0.6
C01906,0.5454545454545454
C01907,0.2916666666666667
C01909,0.64
C01912,0.26229508196721313
C01917,0.38095238095238093
C01920,0.17391304347826086
C01921,0.32558139534883723
C01924,0.8695652173913043
C01925,0.34782608695652173
C01929,0.7
C01933,0.9473684210526315
C01934,0.7272727272727273
C01941,0.391304347826087
C01943,0.34146341463414637
C01944,0.208955223880597
C01946,0.27586206896551724
C01948,0.5384615384615384
C01949,0.625
C01951,0.6666666666666666
C01953,0.42424242424242425
C01957,0.3888888888888889
C01959,0.3
C01962,0.6666666666666666
C01969,0.4878048780487805
C01971,0.42424242424242425
C01983,0.7619047619047619
C01984,0.7619047619047619
C01987,0.8888888888888888
C01988,0.8
C01989,0.6666666666666666
C01990,0.5833333333333334
C01991,0.7058823529411765
C01993,0.41379310344827586
C01995,0.4
C01996,0.4
C01998,0.2857142857142857
C02001,0.42857142857142855
C02004,0.48
C02006,0.5
C02008,0.38095238095238093
C02010,0.3
C00155,0.7777777777777778
C00156,0.8
C00158,0.6086956521739131
C00159,0.6363636363636364
C00160,0.5333333333333333
C00163,0.6666666666666666
C00164,0.7058823529411765
C02013,0.2545454545454545
C02015,0.11320754716981132
C02020,0.75
C02022,0.5555555555555556
C02024,0.6956521739130435
C02027,0.36363636363636365
C02029,0.38461538461538464
C02033,0.42857142857142855
C02034,0.4444444444444444
C02035,0.47058823529411764
C02037,0.5263157894736842
C02041,0.17721518987341772
C02045,0.5555555555555556
C02046,0.5161290322580645
C02048,0.42424242424242425
C02050,0.18181818181818182
C02059,0.32558139534883723
C02060,0.17721518987341772
C02061,0.2
C02066,0.8
C02067,0.5925925925925926
C02074,0.3404255319148936
C02076,0.5833333333333334
C02079,0.35555555555555557
C02080,0.64
C02083,0.7368421052631579
C02084,0.1
C02086,0.5333333333333333
C02090,0.27586206896551724
C02091,0.5263157894736842
C02094,0.24
C02097,0.30434782608695654
C02099,0.5185185185185185
C02105,0.47058823529411764
C02106,0.47058823529411764
C02107,0.6
C02110,0.3870967741935484
C02117,0.48484848484848486
C02123,0.7272727272727273
C02124,0.7777777777777778
C02126,0.7
C02129,0.8421052631578947
C02130,0.3888888888888889
C02132,0.7368421052631579
C02134,0.43243243243243246
C02135,0.21176470588235294
C02137,0.7619047619047619
C02139,0.32727272727272727
C02140,0.4
C02141,0.34146341463414637
C02147,0.7272727272727273
C02151,0.5
C02153,0.3888888888888889
C02161,0.6153846153846154
C02165,0.47058823529411764
C02166,0.3018867924528302
C02167,0.6086956521739131
C02170,0.5555555555555556
C02172,0.5833333333333334
C02183,0.7368421052631579
C02191,0.34615384615384615
C02193,0.5882352941176471
C02198,0.4
C02199,0.3111111111111111
C02200,0.34782608695652173
C02201,0.6363636363636364
C02205,0.6
C02206,0.5714285714285714
C02207,0.5714285714285714
C02209,0.6363636363636364
C00166,0.7272727272727273
C00167,0.3404255319148936
C00168,0.5882352941176471
C00169,0.2222222222222222
C00170,0.4
C00175,0.0
C02213,0.6666666666666666
C02214,0.5263157894736842
C02216,0.38095238095238093
C02217,0.6956521739130435
C02218,0.625
C02220,0.47619047619047616
C02222,0.5714285714285714
C02223,0.625
C02224,0.4444444444444444
C02225,0.5833333333333334
C02226,0.5263157894736842
C02231,0.4444444444444444
C02232,0.23529411764705882
C02235,0.6666666666666666
C02236,0.6956521739130435
C02237,0.8421052631578947
C02240,0.8235294117647058
C02243,0.4
C02247,0.208955223880597
C02249,0.1518987341772152
C02253,0.5185185185185185
C02262,0.6956521739130435
C02265,0.8181818181818182
C02266,0.7
C02271,0.15384615384615385
C02273,0.45714285714285713
C02274,0.7619047619047619
C02280,0.2857142857142857
C02283,0.36363636363636365
C02284,0.23529411764705882
C02287,0.5555555555555556
C02289,0.6666666666666666
C02290,0.47619047619047616
C02291,0.5833333333333334
C02293,0.4444444444444444
C02294,0.26666666666666666
C02295,0.6
C02298,0.6086956521739131
C02299,0.7777777777777778
C02305,0.43478260869565216
C02306,0.13333333333333333
C02323,0.7368421052631579
C02325,0.56
C02330,0.3404255319148936
C02331,0.19047619047619047
C02333,0.4444444444444444
C02335,0.19047619047619047
C02336,0.6363636363636364
C02338,0.6666666666666666
C02341,0.5454545454545454
C02344,0.6666666666666666
C02345,0.5185185185185185
C02347,0.32558139534883723
C02348,0.38095238095238093
C02350,0.38095238095238093
C02351,0.4444444444444444
C02353,0.375
C02354,0.4
C02355,0.4
C02356,0.8235294117647058
C02357,0.8
C02359,0.8
C02360,0.7619047619047619
C02362,0.631578947368421
C02364,0.8
C02366,0.6666666666666666
C02367,0.64
C02370,0.8
C02371,0.8
C02372,0.7777777777777778
C02373,0.7058823529411765
C02375,0.7368421052631579
C02376,0.42105263157894735
C02378,0.9473684210526315
C02379,0.6666666666666666
C02380,0.4
C02381,0.64
C02385,0.7272727272727273
C00177,0.16666666666666666
C00178,0.42105263157894735
C00179,0.5263157894736842
C00180,0.8421052631578947
C00181,0.6
C00183,0.7777777777777778
C00184,0.5
C00185,0.42424242424242425
C00186,0.625
C00187,0.3684210526315789
C02390,0.25
C02394,0.6
C02395,0.7058823529411765
C02400,0.2222222222222222
C02405,0.35294117647058826
C02411,0.18181818181818182
C02419,0.3157894736842105
C02420,0.4
C02426,0.5
C02427,0.8695652173913043
C02431,0.6666666666666666
C02442,0.7619047619047619
C02445,0.6666666666666666
C02452,0.6666666666666666
C02457,0.5333333333333333
C02462,0.6666666666666666
C02463,0.25
C02465,0.5454545454545454
C02466,0.09090909090909091
C02467,0.34782608695652173
C02469,0.2571428571428571
C02470,0.72
C02476,0.6666666666666666
C02477,0.34146341463414637
C02479,0.6
C02480,0.4
C02483,0.35
C02485,0.6666666666666666
C02486,0.7368421052631579
C02488,0.6666666666666666
C02494,0.4
C02495,0.4666666666666667
C02496,0.6956521739130435
C02497,0.375
C02498,0.7368421052631579
C02499,0.6086956521739131
C02501,0.38095238095238093
C02502,0.7058823529411765
C02504,0.6363636363636364
C02505,0.7
C02509,0.27906976744186046
C02512,0.7777777777777778
C02513,0.32558139534883723
C02514,0.6086956521739131
C02515,0.75
C02519,0.7619047619047619
C02526,0.5833333333333334
C02527,0.6
C02528,0.42105263157894735
C02532,0.5714285714285714
C02533,0.5384615384615384
C02535,0.15384615384615385
C02537,0.4666666666666667
C02538,0.4117647058823529
C02549,0.3783783783783784
C02555,0.35555555555555557
C02557,0.18461538461538463
C02560,0.3333333333333333
C02564,0.5
C02565,0.4444444444444444
C02567,0.37037037037037035
C02569,0.3448275862068966
C02571,0.5
C02572,0.4444444444444444
C02574,0.25806451612903225
C02575,0.6363636363636364
C02576,0.6666666666666666
C02588,0.3333333333333333
C00188,0.7777777777777778
C00189,0.5714285714285714
C00190,0.2727272727272727
C00192,0.16666666666666666
C00193,0.7777777777777778
C00194,0.13445378151260504
C00196,0.7619047619047619
C00197,0.47619047619047616
C02591,0.3783783783783784
C02592,0.32558139534883723
C02593,0.1917808219178082
C02604,0.6
C02611,0.1917808219178082
C02612,0.6
C02614,0.6
C02617,0.6363636363636364
C02621,0.5517241379310345
C02625,0.7368421052631579
C02627,0.7619047619047619
C02630,0.7
C02631,0.5714285714285714
C02632,0.625
C02633,0.3181818181818182
C02634,0.7058823529411765
C02635,0.7058823529411765
C02636,0.5714285714285714
C02637,0.7272727272727273
C02642,0.5263157894736842
C02646,0.6666666666666666
C02647,0.5263157894736842
C02648,0.375
C02655,0.56
C02656,0.7619047619047619
C02657,0.7619047619047619
C02659,0.375
C02660,0.6
C02661,0.15384615384615385
C02666,0.6086956521739131
C02669,0.7272727272727273
C02670,0.7272727272727273
C02673,0.46153846153846156
C02674,0.7368421052631579
C02675,0.45161290322580644
C02679,0.6666666666666666
C02681,0.26666666666666666
C02686,0.2545454545454545
C02691,0.48
C02693,0.6086956521739131
C02700,0.7407407407407407
C02703,0.5714285714285714
C02704,0.25
C02710,0.7272727272727273
C02713,0.5333333333333333
C02714,0.5263157894736842
C02717,0.48484848484848486
C02718,0.5882352941176471
C02720,0.7777777777777778
C02721,0.7058823529411765
C02722,0.7368421052631579
C02723,0.5882352941176471
C02724,0.7058823529411765
C02726,0.43478260869565216
C02727,0.8695652173913043
C02728,0.9523809523809523
C02730,0.6153846153846154
C02734,0.6666666666666666
C02735,0.7
C02739,0.2222222222222222
C02740,0.5
C02741,0.2608695652173913
C02744,0.30434782608695654
C02750,0.42424242424242425
C02752,0.8421052631578947
C02759,0.6666666666666666
C02763,0.5454545454545454
C02765,0.6363636363636364
C02771,0.5714285714285714
C00198,0.7272727272727273
C00199,0.5
C00202,0.2857142857142857
C00203,0.32653061224489793
C00204,0.7272727272727273
C00206,0.3333333333333333
C00207,0.42857142857142855
C00208,0.42424242424242425
C02774,0.6956521739130435
C02775,0.6666666666666666
